# count	accession	asmId	sciName	comName	taxId	bioSample	asmType	asmLevel	asmData	submitter	asmSize	maskedPerCent	primary/secondary	VGPClade
1	GCA_002915635.3	GCA_002915635.3_AmbMex60DD	Ambystoma mexicanum	axolotl (DD151 2021)	8296	SAMN06554622	haploid	Chromosome	01 Apr 2021	Max Planck Society/University of Kentucky	28,206,905,576	68.20	secondary	amphibians
2	GCA_003287225.2	GCA_003287225.2_phaCin_HiC	Phascolarctos cinereus	koala (Bilbo 61053 2022)	38626	SAMN06198159	haploid	Scaffold	12 Dec 2022	The Earlham Institute	 3,192,631,935	39.25	primary	mammals
3	GCA_003369685.2	GCA_003369685.2_UOA_Angus_1	Bos indicus x Bos taurus	hybrid cattle (Angus x Brahman F1 Angus haplotype 2018)	30522	SAMN08473802	haploid (principal pseudohaplotype of diploid)	Chromosome	30 Nov 2018	University of Adelaide	 2,580,764,822	47.42	secondary	mammals
4	GCA_003957565.4	GCA_003957565.4_bTaeGut1.4.pri	Taeniopygia guttata	zebra finch (v1.4 Blue55 primary hap 2021 genbank)	59729	SAMN02981239	haploid (principal pseudohaplotype of diploid)	Chromosome	04 May 2021	Vertebrate Genomes Project	 1,056,271,264	20.99	secondary	birds
5	GCA_005190385.3	GCA_005190385.3_NGI_Narwhal_2	Monodon monoceros	narwhal (Baffin Bay Population NGI 2022)	40151	SAMN10872456	haploid	Scaffold	09 Nov 2022	The Narwhal Genome Initiative	 2,341,954,608	37.30	primary	mammals
6	GCA_008658365.1	GCA_008658365.1_bAlcTor1_primary	Alca torda	razorbill (2006_11_07_Graehlm_vinge_78 2019)	28689	SAMN12292087	haploid (principal pseudohaplotype of diploid)	Chromosome	10 Oct 2019	G10K	 1,178,492,568	20.12	primary	birds
7	GCA_008822115.3	GCA_008822115.3_bTaeGut2.mat.v3	Taeniopygia guttata	zebra finch (v3 Blue55 maternal 2020)	59729	SAMN09946140	haploid (maternal haplotype of diploid)	Chromosome	21 Feb 2020	Vertebrate Genomes Project	   995,952,786	10.60	secondary	birds
8	GCA_009764595.1	GCA_009764595.1_bGeoTri1.pri	Geothlypis trichas	common yellowthroat (primary hap 2019)	135433	SAMN12631222	haploid (principal pseudohaplotype of diploid)	Chromosome	19 Dec 2019	G10K	 1,078,128,490	10.78	primary	birds
9	GCA_009769465.1	GCA_009769465.1_bTauEry1.pri	Tauraco erythrolophus	red-crested turaco (primary hap 2019)	121530	SAMN12621036	haploid (principal pseudohaplotype of diploid)	Chromosome	19 Dec 2019	Vertebrate Genomes Project	 1,252,271,553	12.01	primary	birds
10	GCA_009769525.1	GCA_009769525.1_bPteGut1.pri	Pterocles gutturalis	yellow-throated sandgrouse (primary hap 2019)	240206	SAMN12623217	haploid (principal pseudohaplotype of diploid)	Chromosome	23 Dec 2019	Vertebrate Genomes Project	 1,127,422,757	 8.95	primary	birds
11	GCA_009769605.1	GCA_009769605.1_bBucAby1.pri	Bucorvus abyssinicus	Abyssinian ground-hornbill (primary hap 2019)	153643	SAMN12614799	haploid (principal pseudohaplotype of diploid)	Chromosome	23 Dec 2019	Vertebrate Genomes Project	 1,132,597,561	 8.35	primary	birds
12	GCA_009819595.1	GCA_009819595.1_bMerNub1.pri	Merops nubicus	carmine bee-eater (primary hap 2019)	57421	SAMN12621035	haploid (principal pseudohaplotype of diploid)	Chromosome	31 Dec 2019	Vertebrate Genomes Project	 1,149,356,202	11.68	primary	birds
13	GCA_009819605.1	GCA_009819605.1_bSteHir1.pri	Sterna hirundo	common tern (primary hap 2019)	108405	SAMN12369541	haploid (principal pseudohaplotype of diploid)	Chromosome	31 Dec 2019	Vertebrate Genomes Project	 1,229,972,541	 9.95	primary	birds
14	GCA_009819775.1	GCA_009819775.1_bPhoRub2.pri	Phoenicopterus ruber ruber	American flamingo (primary hap 2019)	9218	SAMN12614931	haploid (principal pseudohaplotype of diploid)	Chromosome	31 Dec 2019	Vertebrate Genomes Project	 1,246,226,932	 9.67	primary	birds
15	GCA_009819825.1	GCA_009819825.1_bCarCri1.pri	Cariama cristata	red-legged seriema (primary hap 2019)	54380	SAMN12614807	haploid (principal pseudohaplotype of diploid)	Chromosome	31 Dec 2019	Vertebrate Genomes Project	 1,215,245,693	 8.73	primary	birds
16	GCA_009914755.4	GCA_009914755.4_T2T-CHM13v2.0	Homo sapiens	human T2T CHM13 v2.0 (2022)	9606	(n/a)	haploid	Complete Genome	24 Jan 2022	T2T Consortium	 3,117,292,070	54.59	primary	primates
17	GCA_011004875.1	GCA_011004875.1_bBalReg1.pri	Balearica regulorum gibbericeps	East African grey crowned-crane (primary hap 2020)	100784	SAMN12615749	haploid (principal pseudohaplotype of diploid)	Chromosome	05 Mar 2020	Vertebrate Genomes Project	 1,221,051,782	 9.83	primary	birds
18	GCA_011078405.1	GCA_011078405.1_mCalJac1.mat	Callithrix jacchus	white-tufted-ear marmoset (maternal 2020)	9483	SAMN12368443	haploid (maternal haplotype of diploid)	Chromosome	10 Mar 2020	Vertebrate Genomes Project	 2,811,151,840	49.86	secondary	primates
19	GCA_011100555.2	GCA_011100555.2_mCalJa1.2.pat.X	Callithrix jacchus	white-tufted-ear marmoset (v1.2 2021 genbank)	9483	SAMN12368443	haploid	Chromosome	28 Apr 2021	Vertebrate Genomes Project	 2,874,881,015	47.55	secondary	mammals
20	GCA_011762505.3	GCA_011762505.3_mArvNil1.pat.X	Arvicanthis niloticus	African grass rat (v3 paternal hap 2024)	61156	SAMN12611849	haploid	Chromosome	22 Oct 2024	Vertebrate Genomes Project	 2,496,777,707	33.78	primary	mammals
21	GCA_011762515.1	GCA_011762515.1_mTurTru1.pat	Tursiops truncatus	common bottlenose dolphin (paternal 2020)	9739	SAMN12326775	haploid (paternal haplotype of diploid)	Scaffold	25 Mar 2020	Vertebrate Genomes Project	 2,378,995,196	45.09	secondary	mammals
22	GCA_012275275.1	GCA_012275275.1_bMelUnd1.pat	Melopsittacus undulatus	budgerigar (paternal hap 2020)	13146	SAMN12623090	haploid	Scaffold	13 Apr 2020	Vertebrate Genomes Project	 1,124,753,724	11.47	secondary	birds
23	GCA_013358685.1	GCA_013358685.1_fAntMac1.pri	Antennarius maculatus	warty frogfish (primary hap 2020)	882753	SAMN12623626	haploid (principal pseudohaplotype of diploid)	Chromosome	18 Jun 2020	Vertebrate Genomes Project	   549,949,511	25.70	primary	fish
24	GCA_013358815.1	GCA_013358815.1_fEleEle1.pri	Electrophorus electricus	electric eel (primary hap 2020 genbank)	8005	SAMN12623625	haploid (principal pseudohaplotype of diploid)	Chromosome	23 Jun 2020	Vertebrate Genomes Project	   589,376,265	24.89	secondary	fish
25	GCA_014706295.1	GCA_014706295.1_ASM1470629v1	Lycocorax pyrrhopterus obiensis	Obi paradise-crow (lycPyr6 2020)	2767082	SAMN15881065	haploid	Scaffold	23 Sep 2020	Uppsala University	 1,107,771,238	11.60	primary	birds
26	GCA_014839685.1	GCA_014839685.1_fAnaAna1.pri	Anableps anableps	largescale foureyes (primary hap 2020)	195821	SAMN12623628	haploid (principal pseudohaplotype of diploid)	Chromosome	02 Oct 2020	Vertebrate Genomes Project	   867,632,993	38.75	primary	fish
27	GCA_014839755.1	GCA_014839755.1_bSylBor1.pri	Sylvia borin	garden warbler (primary hap 2020)	73324	SAMN12618613	haploid (principal pseudohaplotype of diploid)	Chromosome	02 Oct 2020	Vertebrate Genomes Project	 1,045,652,180	 9.11	primary	birds
28	GCA_014839995.1	GCA_014839995.1_fXenCan1.pri	Xenentodon cancila	freshwater garfish (primary hap 2020)	129108	SAMN12623622	haploid (principal pseudohaplotype of diploid)	Chromosome	02 Oct 2020	Vertebrate Genomes Project	   736,214,936	30.53	primary	fish
29	GCA_015852565.1	GCA_015852565.1_bf_hap-2	Branchiostoma floridae x Branchiostoma japonicum	lancelets B.floridae x B.japonicum (bjbf 2020)	2700039	SAMN13896449	haploid	Chromosome	09 Dec 2020	University of Vienna	   490,782,628	38.40	primary	invertebrate
30	GCA_016695395.2	GCA_016695395.2_mHomSap3.mat	Homo sapiens	human (mHomSap3 WGS:JACSEX01 2021)	9606	SAMN12568975	haploid (principal pseudohaplotype of diploid)	Chromosome	19 Jan 2021	Vertebrate Genomes Project	 2,902,214,236	52.22	secondary	primates
31	GCA_016700455.2	GCA_016700455.2_mHomSap3.pat	Homo sapiens	human (WGS:JACSEW01 2021 alternate hap)	9606	SAMN12568975	alternate-pseudohaplotype	Chromosome	19 Jan 2021	Vertebrate Genomes Project	 2,744,463,177	51.25	secondary	primates
